LOB;urban;built;1;2;3;4-5;6-8;9-20;20+;SUM
RES;0;11;0,60;0,33;0,07;0,00;0,00;0,00;0,00;1,00
RES;0;12;0,35;0,43;0,22;0,00;0,00;0,00;0,00;1,00
RES;0;13;0,04;0,38;0,37;0,21;0,00;0,00;0,00;1,00
RES;0;14;0,00;0,05;0,40;0,40;0,15;0,00;0,00;1,00
RES;0;15;0,00;0,00;0,40;0,40;0,20;0,00;0,00;1,00
RES;1;11;0,47;0,39;0,14;0,00;0,00;0,00;0,00;1,00
RES;1;12;0,19;0,45;0,26;0,10;0,00;0,00;0,00;1,00
RES;1;13;0,20;0,35;0,22;0,18;0,05;0,00;0,00;1,00
RES;1;14;0,00;0,15;0,23;0,48;0,09;0,05;0,00;1,00
RES;1;15;0,00;0,00;0,13;0,23;0,32;0,29;0,03;1,00
RES;2;11;0,43;0,39;0,18;0,00;0,00;0,00;0,00;1,00
RES;2;12;0,32;0,41;0,19;0,08;0,00;0,00;0,00;1,00
RES;2;13;0,18;0,33;0,24;0,19;0,06;0,00;0,00;1,00
RES;2;14;0,00;0,12;0,24;0,31;0,23;0,10;0,00;1,00
RES;2;15;0,00;0,00;0,13;0,31;0,26;0,25;0,05;1,00
COM;0;21;0,41;0,40;0,19;0,00;0,00;0,00;0,00;1,00
COM;0;22;0,26;0,52;0,22;0,00;0,00;0,00;0,00;1,00
COM;0;23;0,04;0,27;0,42;0,27;0,00;0,00;0,00;1,00
COM;0;24;0,00;0,05;0,55;0,30;0,10;0,00;0,00;1,00
COM;0;25;0,00;0,05;0,40;0,40;0,15;0,00;0,00;1,00
COM;1;21;0,46;0,42;0,12;0,00;0,00;0,00;0,00;1,00
COM;1;22;0,36;0,44;0,15;0,05;0,00;0,00;0,00;1,00
COM;1;23;0,25;0,35;0,22;0,13;0,05;0,00;0,00;1,00
COM;1;24;0,00;0,15;0,35;0,24;0,21;0,05;0,00;1,00
COM;1;25;0,00;0,00;0,10;0,24;0,36;0,27;0,03;1,00
COM;2;21;0,35;0,45;0,20;0,00;0,00;0,00;0,00;1,00
COM;2;22;0,19;0,34;0,31;0,10;0,06;0,00;0,00;1,00
COM;2;23;0,14;0,25;0,21;0,30;0,05;0,05;0,00;1,00
COM;2;24;0,00;0,17;0,25;0,29;0,17;0,12;0,00;1,00
COM;2;25;0,00;0,00;0,10;0,24;0,30;0,31;0,05;1,00
IND;0;21;0,52;0,48;0,00;0,00;0,00;0,00;0,00;1,00
IND;0;22;0,31;0,40;0,29;0,00;0,00;0,00;0,00;1,00
IND;0;23;0,24;0,42;0,34;0,00;0,00;0,00;0,00;1,00
IND;0;24;0,20;0,30;0,40;0,10;0,00;0,00;0,00;1,00
IND;0;25;0,20;0,30;0,40;0,10;0,00;0,00;0,00;1,00
IND;1;21;0,52;0,48;0,00;0,00;0,00;0,00;0,00;1,00
IND;1;22;0,31;0,40;0,29;0,00;0,00;0,00;0,00;1,00
IND;1;23;0,24;0,42;0,34;0,00;0,00;0,00;0,00;1,00
IND;1;24;0,20;0,30;0,40;0,10;0,00;0,00;0,00;1,00
IND;1;25;0,20;0,30;0,40;0,10;0,00;0,00;0,00;1,00
IND;2;21;0,52;0,48;0,00;0,00;0,00;0,00;0,00;1,00
IND;2;22;0,31;0,40;0,29;0,00;0,00;0,00;0,00;1,00
IND;2;23;0,24;0,42;0,34;0,00;0,00;0,00;0,00;1,00
IND;2;24;0,20;0,30;0,40;0,10;0,00;0,00;0,00;1,00
IND;2;25;0,20;0,30;0,40;0,10;0,00;0,00;0,00;1,00
